AURA_DRAIN_PER	Emiþ bonusu %.1f%%
BOSS_TRACKING_SELECT_WINDOW_TOOLTIP1	Giriþ yapmak istediðin zindanlarýn bilgilerini görebilirsin.
BOSS_TRACKING_SELECT_WINDOW_TOOLTIP2	Avlamak istediðin patronlarýn çýkýþ sürelerini ve bilgilerini görebilirsin.
BOSS_TRACKING_SELECT_WINDOW_TOOLTIP3	Ulaþmak istediðin tablo için seçim yapabilirsin.
BOSS_TRACKING_WINDOW_TITLE	Zindan Takip Tablosu
BOSS_TRACKING_WINDOW_TOOLTIP1	Giriþ yapmak istediðin Zindanlarýn bilgilerini görebilirsin.
BOSS_TRACKING_WINDOW_TOOLTIP2	Yang karþýlýðý Zindan giriþ konumuna ýþýnlanabilirsin.
BOSS_TRACKING_WINDOW_TOOLTIP3	Soðuma süreni ve diðer istatistikleri takip edebilirsin.
BOSS_TRACKING_INFO_WINDOW_TITLE	Patron Takip Tablosu
BOSS_TRACKING_INFO_WINDOW_TOOLTIP1	Patronlarýn çýkýþ sürelerini takip edebilirsin.
BOSS_TRACKING_INFO_WINDOW_TOOLTIP2	Patronlarýn konumu, seviyesini, çýkýþ saatlerini 
BOSS_TRACKING_INFO_WINDOW_TOOLTIP3	ve etkili týlsým gibi bilgileri öðrenebilirsin.
CANNOT_ATTACK_DEST_IN_SAFE	Þavasçý çok uzakta.
CANNOT_ATTACK_SELF_IN_SAFE	Saldýramam.
CANNOT_EQUIP_IN_EXCHANGE	Ticaret yaparken zýrhýný deðiþtiremezsin.
CANNOT_EQUIP_IN_SHOP	Ticaret yaparken zýrhýný deðiþtiremezsin.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Genel alanda özel depo açamazsýn.
CANNOT_SHOOT_DEST_IN_SAFE	Düþman çok uzakta.
CANNOT_SHOOT_EMPTY_ARROW	Bir oka ihtiyacým var.
CANNOT_SHOOT_SELF_IN_SAFE	Bunu yapamam.
CANNOT_SKILL_APPROACH	Eminim daha fazla yaklaþamam.
CANNOT_SKILL_ATTACK	Saldýramam.
CANNOT_SKILL_BLUE	Kýrmýzý kurt ruhu etkinken, çivit kurt ruhunu kullanamazsýn.
CANNOT_SKILL_DEST_IN_SAFE	Düþman çok uzakta.
CANNOT_SKILL_EQUIP_FISHING_ROD	Bir oltaya ihtiyacým var.
CANNOT_SKILL_HAVE_TO_RIDE	Bunu kullanmadan önce bir ata ihtiyacým var.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Boþ bir þiþem yok.
CANNOT_SKILL_NEED_POISON_BOTTLE	Zehirli þiþem yok.
CANNOT_SKILL_NEED_TARGET	Hedef kim?
CANNOT_SKILL_NOT_ENOUGH_HP	Yeterli HP yok!
CANNOT_SKILL_NOT_ENOUGH_SP	Yeterli SP yok!
CANNOT_SKILL_NOT_HORSE_SKILL	Bunu at sürerken kullanamam.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Bu beceriyi bu silahla kullanamam.
CANNOT_SKILL_NOT_YET_LEARN	Bu beceriyi öðrenmedim.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Bu sadece grup üyelerini etkiler.
CANNOT_SKILL_ONLY_FOR_CORPSE	Bu sadece ölüleri etkiler.
CANNOT_SKILL_RED	Çivit kurt ruhu etkinken, kýrmýzý kurt ruhunu kullanamazsýn.
CANNOT_SKILL_REMOVE_FISHING_ROD	Bu beceriyi olta ile kullanamam.
CANNOT_SKILL_SELF_IN_SAFE	Buradan saldýramam.
CANNOT_SKILL_USE_SELF	Bunu kendi üzerimde yapamam.
CANNOT_SKILL_WAIT_COOLTIME	Henüz bu beceriyi kullanamam.
CANNOT_USE	Onu kullanamazsýn.
CANNOT_WHISPER_DEST_REFUSE	%s fýsýldamayý blokladý.	SA
CANNOT_WHISPER_NOT_LOGON	%s baðlý deðil.	SA
CANNOT_WHISPER_SELF_REFUSE	Fýsýldamayý blokladýðýnda birine birþey fýsýldayamazsýn.	SNA
CANNOT_CHANGE_FIGHT_MODE	Bu haritada PK modunu deðiþtiremezsin.
CHANGE_LOOK_FAILURE_CLEAN	Bu nesne yansýtmaya sahip deðil.
CHANGE_LOOK_DO_YOU_CLEAN	Bu nesneden yansýtmayý silmek istiyor musun?
CHANGE_LOOK_CHANGE_ITEM	Bu nesneyi yansýtmak istiyor musun?
CHANGE_LOOK_COST	Yansýtma Ücreti: %s Won
CHANGE_LOOK_DEL_ITEM	Yansýtýlan nesne silinir.
CHANGE_LOOK_TITLE	Yansýtma
CHANGE_LOOK_TITLE2	Binek dönüþümü
CHANGE_TOOLTIP_LINE1	Üzerine yansýtýlmasýný istediðin nesneyi sola koy.
CHANGE_TOOLTIP_LINE2	Diðer nesneyi saða koy.
CHANGE_TOOLTIP_LINE3	Soldaki nesnenin görünümü
CHANGE_TOOLTIP_LINE4	Yansýtma'yý (V) onayladýðýn ve senden Yang çekildiði takdirde deðiþir.
CHANGE_TOOLTIP_LINE5	Bu nesneyi kullandýðýnda,
CHANGE_TOOLTIP_LINE6	Yang kullanmadan eþyaný yansýtabilirsin.
CHANGE_TOOLTIP_TITLE	Yansýtma
CHANNEL	Kanal
CHANNELING_CANNOT_LOGOUT	Kaydolma ekranýna tekrar dönemezsiniz.
CHANNEL_EMPTY_SERVER	Sunucu yok
CHANNEL_NORMAL	Kanal %d
CHANNEL_NOTIFY_FULL	Bu kanal dolu! Lütfen baþka bir kanal seçiniz.
CHANNEL_NOT_FIND_INFO	Kanal üzerinden herhangi bir bilgiye ulaþýlamadý.
CHANNEL_PVP	Serbest düello
CHANNEL_SELECT_CHANNEL	Kanal Seç
CHANNEL_SELECT_REGION	Bölge seç.
CHANNEL_SELECT_SERVER	Sunucu seç
CHANNEL_STATUS_BUSY	Kalabalýk
CHANNEL_STATUS_FULL	Dolu
CHANNEL_STATUS_OFFLINE	Çevrimdýþý
CHANNEL_STATUS_RECOMMENDED	Tavsiye edilen
CHANNEL_STATUS_VACANT	Boþ
CHANNEL_TEST_SERVER	Sunucuyu test et
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_APPEARANCE1	Karakter 1
CHARACTER_CREATE_APPEARANCE2	Karakter 2
CHARACTER_WINDOW_RENEWAL_LV	Seviye: %s
CHARACTER_WINDOW_RENEWAL_EXP	Mev. Exp: %s
CHARACTER_WINDOW_RENEWAL_RESTEXP	G. Exp: %s
CHAT_ALL	Genel
CHAT_BLOCK	Blok
CHAT_GUILD	Lonca
CHAT_INFORMATION	Bilgi
CHAT_INSULT_STRING	Bu cümle yanlýþ kelimeler içeriyor.
CHAT_LOG	Eski mesajý göster[L]
CHAT_LOG_TITLE	Sohbet Protokolü
CHAT_NORMAL	Normal
CHAT_NOTICE	Duyuru
CHAT_PARTY	Grup
CHAT_SEND_CHAT	Sohbet yolla
CHAT_SEND_MEMO	Fýsýltý gönder[Shift+Enter]
CHAT_SHOUT	Baðýrmak
CHAT_SHOUT_LIMIT	15 saniyede bir baðýrabilirsiniz.
CHAT_WHISPER	Fýsýldama
CHAT_CANNOT_USE_COMMAND	Bu düzenleme mevcut deðil.
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	Para düþüremezsin.
CHEQUE_SYSTEM_PICK_WON	%s Won aldýn.
CHEQUE_SYSTEM_SELL_PRICE	[Satýþ Fiyatý]
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_UNIT_GEM	Patron Gaya
CHEQUE_SYSTEM_UNIT_RED_GEM	Metin Gaya
CHEQUE_SYSTEM_WON	%s Won
CHEQUE_SYSTEM_YANG	%s Yang
CHEQUE_SYSTEM_PICK_DIALOG_GOLD	Aktarma(Yang)
CHEQUE_SYSTEM_PICK_DIALOG_CHEQUE	Aktarma(Won)
CHEQUE_SYSTEM_ARE_YOU_SERIOSLY_GOLD	%s Won almak istiyor musun ?
CHEQUE_SYSTEM_ARE_YOU_SERIOSLY_CHEQUE	%s Yang almak istiyor musun ?
USE_WON_TICKET_EMPTY	Won çekine bir deðer girmelisin.
USE_WON_TICKET_NOT_ENOUGH	Yeterli miktarda Won'a sahip deðilsin.
USE_WON_TICKET_QUESTION_DLG1	Gerçekten bunu yapmak istiyor musun?
USE_WON_TICKET_QUESTION_DLG2	Bu iþlem geri alýnamaz.
CONTACT_MEMBERS_ONLINE	Aktif arkadaþ sayýsý: %d
CONTACT_MEMBERS_OFFLINE	Toplam arkadaþ sayýsý: %d
COMB_NOT_MEDIUM_ITEM	Bu nesne kullanýlamaz.
COMB_CANT_APPEND_ITEM	Bu nesne kullanýlamaz.
COMB_NOT_ITEM_IN_INVENTORY	Kuþandýðýn eþyalarý kullanamazsýn.
COMB_ALREADY_APPEND	Bu nesne zaten kaydedilmiþ.
COMB_WILL_REMOVE_MATERIAL	Kostüm 2 yok ediliyor.
COMB_WILL_REMOVE_BOOK	Beceri kitaplarý yok ediliyor.
COMB_COST	Ücret: %s
COMB_IS_CONTINUE_PROCESS	Devam etmek istiyor musun?
COMB_NOTICE	Kitaplarý takas etmek isterken özel dükkan açamazsýn.
COMB_NOTICE_NOT_OPEN	Özel dükkan açýkken kitap takas edemezsin.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Bonus aktarmak için 2. bir kostüme ihtiyacýn var.
COMB_NOT_FULL_BOOK	Yok, biz böyle anlaþamayýz. Sana anlattýðým gibi, takas sadece bana 10 kitap verirsen olur.
COMB_ITEM_COUNT_ERROR	Stoklanmýþ nesneleri yerleþtiremezsin.
COMBAT_ZONE_TOOLTIP_BATTLE_POTION	Savaþ Bölgesi Ýksiri	SNA
COMBAT_ZONE_SHOP_OVERFLOW_LIMIT_TODAY	Þuanki Limit + Eþya fiyatý limiti.
COMBAT_ZONE_SHOP_EXCEED_LIMIT_TODAY	Bugünki iksir limitini doldurdun.
COMBAT_ZONE_SHOP_NOT_ENOUGH_BATTLE_POINT	Savaþ Puanýna sahip deðilsin.
COMBAT_ZONE_CURRENT_REAL_POINTS	Savaþ Puanlarý: %d
COMBAT_ZONE_LIMIT_SHOP_POINTS	Günlük Limit: %d/%d
COSTUME_EVO_ONLY_COSTUMES	Sadece kostümlere parlama ekleyebilirsin.
COSTUME_EVO_NOT_YET_SELECT	Renk seçimi yapýlmadý.
CHARACTER_CREATE_MODE	Karakter oluþtur
CHARACTER_SELECT_MODE	Karakter seç
CHARACTER_CREATE_MALE	Erkek
CHARACTER_CREATE_FEMALE	Kadin
CREATE_ERROR_GM_NAME	Karakter isminizde, GM ismini kullanamazsiniz.
CREATE_ERROR_INSULT_NAME	Bu isim hatalý.
CREATE_ERROR_LIMIT_LEVEL	Karakterin en az seviye 80 olmalý.
CREATE_ERROR_TIME_LIMIT	Sadece her 30 saniyede bir karakter oluþturabilirsin.
CREATE_ERROR_WRONG_STRING	Bu karakter adý yasak.
CREATE_EXIST_SAME_NAME	Bu ismi zaten baþka bir karakter kullanýyor.
CREATE_FAILURE	Karakteri yaratamazsýn.
CREATE_FULL	Baþka karakter oluþturamazsýn.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Ýsmi gir.
CREATE_PLUS_STAT	Hala statü puanýn var.
CZ_REWARD_QUESTION_COMPLETE	Bu alaný bozdurmak mý istiyorsun?
CZ_REWARD_TOOLTIP_10GAN	Zodyak Niþanlarý
CZ_REWARD_TOOLTIP_10GAN_COUNT	Envanterdeki Miktar
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	Gerekli Miktar
CZ_REWARD_TOOLTIP_12ZI	Bekçi Niþanlarý
CZ_REWARD_TOOLTIP_12ZI_COUNT	Envanterdeki Miktar
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Gerekli Miktar
CZ_REWARD_TOOLTIP_ALL_BOX	Yýldýz Hazinesi
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Yýldýz hazinesi ödülünü almak için buraya týkla.
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Aventurin hazinesi ödülünü almak için buraya týkla.
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Aureolin hazinesi ödülünü almak için buraya týkla.
CZ_REWARD_TOOLTIP_COMPLETABLE	Bozdur
CZ_REWARD_TOOLTIP_GREEN_BOX	Aventurin Hazinesi
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Bozdurulan Aventurin hazinesi: %d
CZ_REWARD_TOOLTIP_WEEKLY	Gün
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Cuma
CZ_REWARD_TOOLTIP_WEEKLY_MON	Pazartesi
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Cumartesi
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Cumartesi/Pazar
CZ_REWARD_TOOLTIP_WEEKLY_THU	Perþembe
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Salý
CZ_REWARD_TOOLTIP_WEEKLY_WED	Çarþamba
CZ_REWARD_TOOLTIP_YELLOW_BOX	Aureolin Hazinesi
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Bozdurulan Aureolin hazinesi: %d
CUBE_EX_WINDOW_TOOLTIP_TITLE	Yükseltme Penceresi
CUBE_EX_WINDOW_TOOLTIP1	75. Seviye silahýný ilk sokete sürükle
CUBE_EX_WINDOW_TOOLTIP2	sonrasýnda yükseltme eþyalarýný koy.
CUBE_EX_WINDOW_TOOLTIP3	ve kabul et.
CUBE_WRONG_COMBINATION	Kombinasyon denemesi yanlýþ.
CUBE_IS_NOT_FIT_ITEM	Bu eþyayý sürükleyemezsin.
CUBE_POP_DLG1	Yazýlacak...
CUBE_POP_DLG2	Yazýlacak...
CUBE_QUESTION_DLG	Yazýlacak...
DUNGEON_INFO_TOOLTIP_TEXT	Zindan Bilgi
DUNGEON_INFO_TYPE0	Bilinmiyor
DUNGEON_INFO_TYPE1	Özel
DUNGEON_INFO_TYPE2	Genel
DUNGEON_INFO_ORGANIZATION0	Bireysel
DUNGEON_INFO_ORGANIZATION1	Grup
DUNGEON_INFO_ORGANIZATION2	Lonca
DUNGEON_INFO_AVAILABLE	|cFF00FF00Giriþ yapýlabilir|r
DUNGEON_INFO_UNAVAILABLE	|cFFFF0000Giriþ yapýlamaz|r
DUNGEON_INFO_NONE	 -
DUNGEON_INFO_LEVEL_ERROR	Bu zindana giriþ yapabilmek için yeterli seviyede deðilsin.
DUNGEON_INFO_TELEPORT_QUESTION	%s bekçisine ýþýnlanmak istiyor musun?
DAY	Gün
DETAILS_1	Yr. insanl. krþ. gç.
DETAILS_10	Çöl cana. krþ. güçlü
DETAILS_11	Böcekl. karþý güçlü
DETAILS_12	Saldýrý deðeri
DETAILS_13	Savunma deðeri
DETAILS_14	Ortalama hasar
DETAILS_15	Ortl. hasar direnci
DETAILS_16	Beceri hasarý
DETAILS_17	Dayanýklýlýk beceri hsr.
DETAILS_18	Büyü/yakýn sav. sal.
DETAILS_19	Büyü saldýrýsý
DETAILS_2	Yarý insan direnci
DETAILS_20	Krit. isabet þansý
DETAILS_21	Delici isabet
DETAILS_22	Kritik vuruþ direnci
DETAILS_23	Del. isabet direnci
DETAILS_24	Þimþek direnci
DETAILS_25	Buz direnci
DETAILS_26	Karanlýða kr. direnç
DETAILS_27	Ateþe karþý direnç
DETAILS_28	Rüzgara karþý direnç
DETAILS_29	Toprak direnci
DETAILS_3	Orklara karþý güçlü
DETAILS_30	Þimþeklerin gücü
DETAILS_31	Buzun gücü
DETAILS_32	Karanlýðýn gücü
DETAILS_33	Ateþin gücü
DETAILS_34	Rüzgarýn gücü
DETAILS_35	Topraðýn gücü
DETAILS_36	Savaþçý. krþ. güçlü
DETAILS_37	Ninjal. krþ. güçlü
DETAILS_38	Suralara karþý güçlü
DETAILS_39	Þamanl. karþý güçlü
DETAILS_4	Ölümsüz. karþý güçlü
DETAILS_40	Lycanl. karþý güçlü
DETAILS_41	Savaþçýl. krþ. sav.
DETAILS_42	Ninjal. karþý savun.
DETAILS_43	Sural. karþý savunma
DETAILS_44	Þamanlara karþý sav.
DETAILS_45	Lycan. karþý savunma
DETAILS_46	Kýlýç savunmasý
DETAILS_47	Çift el savunmasý
DETAILS_48	Hançer savunmasý
DETAILS_49	Pençe savunmasý
DETAILS_5	Canavarl. krþ. güçlü
DETAILS_50	Çan savunmasý
DETAILS_51	Yelpaze savunmasý
DETAILS_52	Ok savunmasý
DETAILS_53	Bayýlma olasýlýðý
DETAILS_54	Yavaþlama þansý
DETAILS_55	Zehirlenme olasýlýðý
DETAILS_56	Zehir direnci
DETAILS_57	Kanama saldýrýsý
DETAILS_58	Kanama saldýr. dir.
DETAILS_59	Hayat yaðmasý
DETAILS_6	Zod. canv. krþ. güç.
DETAILS_60	SP yaðmasý
DETAILS_61	HP yükleme
DETAILS_62	SP yükleme
DETAILS_63	Saldýrý engelleme
DETAILS_64	Ok saldýr. sýyrýlma
DETAILS_65	Yak. dövüþ yansýmasý
DETAILS_66	Öldürmede HP yenile.
DETAILS_67	Öldürmede SP yenile.
DETAILS_68	2 kat EXP
DETAILS_69	2 kat Yang
DETAILS_7	Hayvanl. karþý güçlü
DETAILS_70	Düþürme þansý
DETAILS_71	Saldýrý deðeri
DETAILS_72	Savunma
DETAILS_73	EXP
DETAILS_74	Düþürme þansý
DETAILS_75	2 kat Yang
DETAILS_76	Büyüye karþý direnç
DETAILS_77	Büyü bozma
DETAILS_8	Mistikl. karþý güçlü
DETAILS_9	Þeytanl. karþý güçlü
DETAILS_ATTBONUS_BELL	Çanýn Kýrýlmasý
DETAILS_ATTBONUS_BOW	Okun Kýrýlmasý
DETAILS_ATTBONUS_CLAW	Pençenin Kýrýlmasý
DETAILS_ATTBONUS_DAGGER	Hançerin Kýrýlmasý
DETAILS_ATTBONUS_FAN	Yelpazenin Kýrýlmasý
DETAILS_ATTBONUS_SWORD	Kýlýcýn Kýrýlmasý
DETAILS_ATTBONUS_TWOHAND	Çift Elin Kýrýlmasý
DETAILS_ATTBONUS_METIN	Metin taþlarýna karþý güç
DETAILS_CATE_1	Hasar/savunma
DETAILS_CATE_2	Temel bonuslar
DETAILS_CATE_3	Sýnýf bonuslarý
DETAILS_CATE_4	Silah bonuslarý
DETAILS_CATE_5	Diðer bonuslar
DETAILS_CATE_6	Özel bonuslar
DETAILS_RESIST_MOUNT_FALL	Düþmeye Karþý Dayanýklýlýk
DETAILS_TITLE	Ayrýntýlar
DETAILS_TOOLTIP_1	Yarý insanlara karþý güçlü: Yarý insanlara daha büyük hasar verir.
DETAILS_TOOLTIP_10	Çöl canavarýna karþý güçlü: Çöl canavarlarýna daha büyük hasar verir.
DETAILS_TOOLTIP_11	Böceklere karþý güçlü: Böceklere daha büyük hasar verir.
DETAILS_TOOLTIP_12	Saldýrý deðerini artýrýr.
DETAILS_TOOLTIP_13	Savunma deðerini artýrýr.
DETAILS_TOOLTIP_14	Rakiplere saldýrýrken verdiðin ortalama hasarý yükseltir.
DETAILS_TOOLTIP_15	Ortalama hasara karþý direnç: Bir saldýrýda aldýðýn hasarý düþürür.
DETAILS_TOOLTIP_16	Bir becerinin meydana getirdiði hasarý artýrýr.
DETAILS_TOOLTIP_17	Beceri hasarýna direnç: Sana bir yetenekle verilen hasarý düþürür.
DETAILS_TOOLTIP_18	Hem bedensel hem de büyü saldýrý deðeri yükselir.
DETAILS_TOOLTIP_19	Rakiplere bir büyü saldýrýsýyla verdiðin hasarý yükseltir.
DETAILS_TOOLTIP_2	Yarý insanlara karþý direnç: Yarý insanlardan alýnan hasarý düþürür.
DETAILS_TOOLTIP_20	Bir kritik vuruþ meydana getirme þansýný yükseltir.
DETAILS_TOOLTIP_21	Delici isabet þansý: Delici isabet yapma þansýný artýrýr.
DETAILS_TOOLTIP_22	Kritik isabete karþý direnç: Bir kritik vuruþla meydana getirilen hasarý düþürür.
DETAILS_TOOLTIP_23	Delici isabete karþý direnç: Bir delici isabetle meydana getirilen hasarý düþürür.
DETAILS_TOOLTIP_24	Belli canavarlardan alýnan hasarý düþürür.
DETAILS_TOOLTIP_25	Belli canavarlardan alýnan hasarý düþürür.
DETAILS_TOOLTIP_26	Karanlýða karþý direnç: Belli canavarlardan alýnan hasarý düþürür.
DETAILS_TOOLTIP_27	Belli canavarlardan alýnan hasarý düþürür.
DETAILS_TOOLTIP_28	Belli canavarlardan alýnan hasarý düþürür.
DETAILS_TOOLTIP_29	Belli canavarlardan alýnan hasarý düþürür.
DETAILS_TOOLTIP_3	Orklar karþýsýnda güçlü: Orklara daha çok hasar verir.
DETAILS_TOOLTIP_30	Þimþeklerin gücüyle verdiðin hasarý artýrýr.
DETAILS_TOOLTIP_31	Buzun gücüyle verdiðin hasarý artýrýr.
DETAILS_TOOLTIP_32	Karanlýðýn gücüyle verdiðin hasarý artýrýr.
DETAILS_TOOLTIP_33	Ateþin gücüyle verdiðin hasarý artýrýr.
DETAILS_TOOLTIP_34	Rüzgarýn gücüyle verdiðin hasarý artýrýr.
DETAILS_TOOLTIP_35	Topraðýn gücüyle verdiðin hasarý artýrýr.
DETAILS_TOOLTIP_36	Savaþçýlar karþýsýnda güçlü: Savaþçýlara daha çok hasar verir.
DETAILS_TOOLTIP_37	Ninjalar karþýsýnda güçlü: Ninjalara daha çok hasar verir.
DETAILS_TOOLTIP_38	Sura karþýsýnda güçlü: Suralara daha çok hasar verir.
DETAILS_TOOLTIP_39	Þamanlar karþýsýnda güçlü: Þamanlara daha çok hasar verir.
DETAILS_TOOLTIP_4	Ölümsüzler karþýsýnda güçlü: Ölümsüzlere daha çok hasar verir.
DETAILS_TOOLTIP_40	Lycanlar karþýsýnda güçlü: Lycanlara daha çok hasar verir.
DETAILS_TOOLTIP_41	Savaþçý saldýrýlarýný savuþturma þansý: Savaþçýlardan alýnan hasarý azaltýr.
DETAILS_TOOLTIP_42	Ninja saldýrýlarýný savuþturma þansý: Ninjalardan alýnan hasarý azaltýr.
DETAILS_TOOLTIP_43	Sura saldýrýlarýný savuþturma þansý: Suralardan alýnan hasarý azaltýr.
DETAILS_TOOLTIP_44	Þaman saldýrýlarýný savuþturma þansý: Þamanlardan alýnan hasarý azaltýr.
DETAILS_TOOLTIP_45	Lycan saldýrýlarýný savuþturma þansý: Lycanlardan alýnan hasarý azaltýr.
DETAILS_TOOLTIP_46	Bir kýlýçtan alýnan hasarý düþürür.
DETAILS_TOOLTIP_47	Bir çift el silahtan alýnan hasarý düþürür.
DETAILS_TOOLTIP_48	Bir hançerden alýnan hasarý düþürür.
DETAILS_TOOLTIP_49	Bir pençeden alýnan hasarý düþürür.
DETAILS_TOOLTIP_5	Canavarlar karþýsýnda güçlü: Canavarlara daha çok hasar verir.
DETAILS_TOOLTIP_50	Bir çandan alýnan hasarý düþürür.
DETAILS_TOOLTIP_51	Bir yelpazeden alýnan hasarý düþürür.
DETAILS_TOOLTIP_52	Bir ok veya yaydan alýnan hasarý düþürür.
DETAILS_TOOLTIP_53	Rakibi bayýltma þansýný yükseltir.
DETAILS_TOOLTIP_54	Rakibi yavaþlama þansýný yükseltir.
DETAILS_TOOLTIP_55	Rakibi zehirleme þansýný yükseltir.
DETAILS_TOOLTIP_56	Bir zehirden alýnan hasarý düþürür.
