AURA_MAIN	Aura Giysisi
DUNGEON_INFO_ENTRANCE	Giriþ:
DUNGEON_INFO_STRENGTH	Güç:
DUNGEON_INFO_RESISTANCE	Direnç:
DUNGEON_INFO_TOTAL_FINISHED	Toplam Bitiriþ:
DUNGEON_INFO_FASTEST_TIME	Rekor Süre:
DUNGEON_INFO_HIGHEST_DAMAGE	Rekor Hasar:
DUNGEON_INFO_TELEPORT	Iþýnlan
DUNGEON_INFO_CLOSE	Kapat
DUNGEON_INFO_PERSONAL_STATS	Sonuçlar
DUNGEON_INFO_DUNGEON	Zindan
DUNGEON_RANKING	Derecelendirme
DUNGEON_RANKING_POSITION	Sýra
DUNGEON_RANKING_NAME	Ýsim
DUNGEON_RANKING_LEVEL	Seviye
DUNGEON_RANKING_POINTS	Puan
DUNGEON_RANKING_TYPE1	Bitiriþ Sýralamasý
DUNGEON_RANKING_TYPE2	Zaman Sýralamasý
DUNGEON_RANKING_TYPE3	Zarar Sýralamasý
DUNGEON_RANKING_POINT_TYPE1	Bitiþ
DUNGEON_RANKING_POINT_TYPE2	Min. Zaman
DUNGEON_RANKING_POINT_TYPE3	Max. Zaman
ENTER_BATTLE_FIELD	Katýl
EMPIRE_EXIT	Çýkýþ
EMPIRE_NEXT	Sonraki
EMPIRE_PREV	Önceki
EMPIRE_SELECT	Seçim
EXCHANGE_ACCEPT	Kabul
EXCHANGE_TITLE	Ticaret
EXIT_BATTLE_FIELD	Savaþ Bölgesi'ni terk etmek istediðine emin misin?
EXIT_BATTLE_FIELD_COLLECTED_POINTS	Þuanki Puanlar: %d
EXTEND_INVENTORY_TITLE	Yardýmcý Çanta
EXTEND_INVENTORY_SKILL_BOOK	Beceri Kitaplarý
EXTEND_INVENTORY_UPGRADE_ITEMS	Yükseltme Eþyalarý
EXTEND_INVENTORY_STONE_TOOLTIP	Zihin Taþlarý
EXTEND_INVENTORY_CHEST_TOOLTIP	Sandýk Eþyalarý
EXTEND_INVENTORY_ATTR_TOOLTIP	Efsun Eþyalarý
EXTEND_INVENTORY_FLOWER_TOOLTIP	Bitki Eþyalarý
EXTENDED_INVEN_CHECK_ON	Envanter ile birlikte açýlýr.
EXTENDED_INVEN_CHECK_OFF	Envanterden ayrý þekilde açýlýr.
ENVANTER_DUZENLE	Otomatik Düzenle
FREE	Boþ
GAMEOPTION_TITLE	Oyun Seçenekleri
GAME_EXIT_OBSERVER	Ýzlemeyi Bitir
GAME_HELP	Yardým
GAME_QUEST	Görevler
GAME_SKILL_UP	Becerileri Geliþtir
GAME_STAT_UP	Statü Geliþtir
GAME_EVENTS_MOON_DROP	Ayýþýðý Etkinliði
GAME_EVENTS_HEXAGON_DROP	Altýgen Etkinliði
GAME_EVENTS_CARVING_STONE_DROP	Oyma Taþ Etkinliði
GAME_EVENTS_RAMADAN	Ramazan Etkinliði
GAME_EVENTS_XMAS	Yýlbaþý Etkinliði
GAME_EVENTS_FOOTBALL_DROP	Futbol Topu Etkinliði
GAME_EVENTS_VALENTINE_DROP	Amorun Etkinliði
GAME_EVENTS_PET_DROP	Evcil Hayvan Etkinliði
GAME_EVENTS_KIDS_DAY_DROP	Bulmaca Kutusu Etkinliði
GAME_EVENTS_HALLOWEEN	Cadýlar Bayramý Etkinliði
GAME_EVENTS_OLYMPIC_BADGE	Olimpiyat Etkinliði
GAME_EVENTS_OKEY_CARD	Okey Kart Etkinliði
GAME_EVENTS_MOUNT_DROP	Binek Sertifikasý Etkinliði
GAME_EVENTS_ALIGNMENT	Derece Puaný Etkinliði
GAME_EVENTS_YEAR_ROUND	Yýl Dönümü Etkinliði
GAME_EVENTS_BOSS_HUNTERS	Patron Avcýlarý Etkinliði
GAME_EVENTS_EASTER	Paskalya Etkinliði
GAME_EVENTS_FISH_EVENT	Balýkçýlýk Etkinliði
GAME_EVENTS_MINING	Madencilik Etkinliði
GAME_EVENTS_HARVEST_FESTIVAL	Yaðmacýlarý Avla Etkinliði
GAME_EVENTS_MAKE_WONSO	Tatlý Yapým Etkinliði
GAME_EVENTS_CATCH_KING	Kralý Yakala Etkinliði
GAME_EVENTS_GOLDEN_RAIN	Yang Yaðmuru Etkinliði
GAME_EVENTS_SUPER_METIN	Süper Metin Etkinliði
GAME_EVENTS_INFORMATION_MOON_DROP_1	Tüm Canavarlardan Elde Edilebilir.
GAME_EVENTS_INFORMATION_MOON_DROP_2	Seviye Farký: -10 / +10
GAME_EVENTS_INFORMATION_HEXAGON_DROP_1	Tüm Canavarlardan Elde Edilebilir.
GAME_EVENTS_INFORMATION_HEXAGON_DROP_2	Seviye Farký: -10 / +10
GAME_EVENTS_INFORMATION_RAMADAN_1	Tüm Canavarlardan Elde Edilebilir.
GAME_EVENTS_INFORMATION_RAMADAN_2	Seviye Farký: -10 / +10
GAME_EVENTS_INFORMATION_RAMADAN_3	Tarihçiden bereket meyvesi alabilirsin.
GAME_EVENTS_INFORMATION_CARVING_STONE_DROP_1	Tüm Canavarlardan Elde Edilebilir.
GAME_EVENTS_INFORMATION_CARVING_STONE_DROP_2	Seviye Farký: -10 / +10
GAME_EVENTS_INFORMATION_CARVING_STONE_DROP_3	Paskalya Tavþanýna götürerek ödül kazanabilirsin.
GAME_EVENTS_INFORMATION_XMAS_1	Tüm Canavarlardan Elde Edilebilir.
GAME_EVENTS_INFORMATION_XMAS_2	Seviye Farký: -10 / +10
GAME_EVENTS_INFORMATION_XMAS_3	Yanýnda Ren Geyiði Yavrusu var iken þansýn artar.
GAME_EVENTS_INFORMATION_FOOTBALL_DROP_1	Tüm Canavarlardan Elde Edilebilir.
GAME_EVENTS_INFORMATION_FOOTBALL_DROP_2	Seviye Farký: -10 / +10
GAME_EVENTS_INFORMATION_FOOTBALL_DROP_3	Yu-Hwan'da Altýn Futbol Topu yapabilirsin.
GAME_EVENTS_INFORMATION_VALENTINE_DROP_1	Sadece Metin Taþlarýndan Elde Edebilirsin.
GAME_EVENTS_INFORMATION_VALENTINE_DROP_2	Seviye Farký: -10 / +10
GAME_EVENTS_INFORMATION_VALENTINE_DROP_3	30 Dakikada bir açýlabilir.
GAME_EVENTS_INFORMATION_PET_DROP_1	Sadece Metin Taþlarýndan Elde Edebilirsin.
GAME_EVENTS_INFORMATION_PET_DROP_2	Seviye Farký: -10 / +10
GAME_EVENTS_INFORMATION_PET_DROP_3	Elde edilen evcil hayvan süresi: 3 Gün
GAME_EVENTS_INFORMATION_KIDS_DAY_DROP_1	Bütün Canavarlardan Elde Edilebilirsin.
GAME_EVENTS_INFORMATION_KIDS_DAY_DROP_2	Seviye Farký: -10 / +10
GAME_EVENTS_INFORMATION_KIDS_DAY_DROP_3	3 Soruyu doðru cevaplarsan ödül kazanacaksýn.
GAME_EVENTS_INFORMATION_HALLOWEEN_1	Tüm Canavarlardan Elde Edilebilir.
GAME_EVENTS_INFORMATION_HALLOWEEN_2	Seviye Farký: -10 / +10
GAME_EVENTS_INFORMATION_HALLOWEEN_3	Bal kabaðý fenerlerini topla ve ödül kazan.
GAME_EVENTS_INFORMATION_OLYMPIC_BADGE_1	Tüm Canavarlardan Elde Edilebilir.
GAME_EVENTS_INFORMATION_OLYMPIC_BADGE_2	Seviye Farký: -10 / +10
GAME_EVENTS_INFORMATION_OLYMPIC_BADGE_3	Tüm parçalarý bir araya getir ve madalya kazan.
GAME_EVENTS_INFORMATION_MOUNT_DROP_1	Sadece Metin Taþlarýndan Elde Edebilirsin.
GAME_EVENTS_INFORMATION_MOUNT_DROP_2	Otomatik Bir Etkinliktir (20.00 / 21.00)
GAME_EVENTS_INFORMATION_MOUNT_DROP_3	Elde edeceðin binek sertifikalarýný seyise götür.
GAME_EVENTS_INFORMATION_ALIGNMENT_1	Tüm Canavarlardan Elde Edilebilir.
GAME_EVENTS_INFORMATION_ALIGNMENT_2	Seviye Farký: -10 / +10
GAME_EVENTS_INFORMATION_ALIGNMENT_3	Daha fazla derece için derecelerini kutula.
GAME_EVENTS_INFORMATION_YEAR_ROUND_1	Gölge Savaþçýsýndan Elde Edebilirsin.
GAME_EVENTS_INFORMATION_YEAR_ROUND_2	Vuruþ baþýna 1 puan alýrsýn ve Cherie'de
GAME_EVENTS_INFORMATION_YEAR_ROUND_3	bu puanlar karþýlýðý yýl dönümü parasý alýrsýn.
GAME_EVENTS_INFORMATION_EASTER	Sadece Metin Taþlarýndan Elde Edebilirsin.
GAME_EVENTS_INFORMATION_EASTER_2	Seviye Farký: -10 / +10
GAME_EVENTS_INFORMATION_EASTER_3	Elde ettiðin yumurtalarý Bay B'ye teslim et.
GAME_EVENTS_INFORMATION_MINING_1	Tüm madenlerden elde edebilirsin.
GAME_EVENTS_INFORMATION_MINING_2	Düþürdüðün her cevher için 1 puan kazanacaksýn.
GAME_EVENTS_INFORMATION_MINING_3	Puanlarý ejderha parasýna çevirebilirsin.
GAME_EVENTS_INFORMATION_HARVEST_FESTIVAL_1	Yaðmacýlarý Avlayarak Günlük Ödüller Kazan
GAME_EVENTS_INFORMATION_HARVEST_FESTIVAL_2	Wonda-Rim ile görüþerek bilgi edin.
GAME_EVENTS_INFORMATION_HARVEST_FESTIVAL_3	Seviye limiti yok.
GAME_EVENTS_INFORMATION_MAKE_WONSO_1	Tatlý Üreterek Özel bonuslar kazan.
GAME_EVENTS_INFORMATION_MAKE_WONSO_2	Detaylý bilgi için Yaþlý Kadýn ile görüþ.
GAME_EVENTS_INFORMATION_MAKE_WONSO_3	Tüm yaratýklardan malzeme elde edebilirsin.
GAME_EVENTS_INFORMATION_GOLDEN_RAIN_1	%20 ekstra yang elde et!
GAME_EVENTS_INFORMATION_GOLDEN_RAIN_2	Tüm canavar ve metinlerden elde edilebilir.
GAME_EVENTS_INFORMATION_GOLDEN_RAIN_3	Seviye limiti yok.
GAME_EVENTS_INFORMATION_SUPER_METIN_1	Tüm metinlerden üç kat eþya elde et.
GAME_EVENTS_INFORMATION_SUPER_METIN_2	Tüm metinlerden elde edilebilir.
GAME_EVENTS_INFORMATION_SUPER_METIN_3	Seviye limiti yok.
GEMS_ISIM	Gaya Maðazasý
GEMS1	Gerekli nesne: Gaya Magazasini Genislet. Yeni bir sira acmak ister misin? Simdi 1 adet kullanip, yeni bir sira acmak ister misin?
GEMS2	Bu esyayi satin almak istiyor musun?
GEMS3	Bu esyayi satin almak istiyor musun?
GEMS4	Gerekli nesne: Gaya Magazasini Sifirlama. Dukkani yenilemek ister misin?
GEMS5	Kalan Süre:
GIFT_WINDOW_NAME	Hediye
GIFT_PREV_PAGE	Önceki sayfa
GIFT_NEXT_PAGE	Sonraki sayfa
GIFT_FROM	Sahip
GIFT_REASON	Sebep
GIFT_GET_ALL	Hepsini al
GIFT_GET_QUEST	"%s"i almak istediðine emin misin?
GIFT_GET_QUEST_ALL	Bütün itemlerini almak istediðine emin misin?
GIFT_MONEY_DESC	Offline marketten kazandýðýn para.
GRADE	Sýnýf
GRADE_SELECT	Sýnýf
GUILD_BASENAME	Temel isim
GUILD_BOARD_ID	Isim
GUILD_BOARD_REFRESH	Yenile
GUILD_BOARD_TEXT	Mesaj
GUILD_BUILDING_CATEGORY_TITLE	Ýnþaat Birimleri
GUILD_BUILDING_CHANGE	Deðiþtir
GUILD_BUILDING_DIRECTION	Yön
GUILD_BUILDING_GRADE	Sýra
GUILD_BUILDING_INFO	Yapýlar ve masraf bilgileri
GUILD_BUILDING_LIST_TITLE	Bina Listesi
GUILD_BUILDING_LOG	dilb kök
GUILD_BUILDING_NAME	Bina ismi
GUILD_BUILDING_OPERATE	Yönet
GUILD_BUILDING_PLY	Kontrplak
GUILD_BUILDING_POSITION	Pozisyon
GUILD_BUILDING_PREVIEW	Önizleme
GUILD_BUILDING_PRICE	Fiyat
GUILD_BUILDING_REFRESH	Yenile
GUILD_BUILDING_STONE	Taþ
GUILD_BUILDING_TITLE	Lonca Meclis Binalarý
GUILD_CRYSTAL	Kristal
GUILD_DEPOSIT	Depozit
GUILD_DROP_RESOURCE1	Burada
GUILD_DROP_RESOURCE2	Düþen Kaynak
GUILD_GEM	Deðerli Taþ
GUILD_GRADE_CHANGE_GRADE_NAME	Yeni rütbe ismi
GUILD_GRADE_NUM	No.
GUILD_GRADE_PERMISSION_DELETE	Çýkar
GUILD_GRADE_PERMISSION_JOIN	Davet
GUILD_GRADE_PERMISSION_NOTICE	Duyuru
GUILD_GRADE_PERMISSION_SKILL	Beceri
GUILD_GRADE_PERMISSION_SAFEBOX_SAVE	Eþya Ekle
GUILD_GRADE_PERMISSION_SAFEBOX_TAKE	Eþya Al
GUILD_GRADE_PERMISSION_WAR	Savaþ
GUILD_GRADE_RANK	Sýra
GUILD_GRADE_WRITE	Yaz
GUILD_INFO	Lonca Bilgisi
GUILD_INFO_CUR_EXP	Tecrübe
GUILD_INFO_DECALRE_WAR	Savaþ Ýlaný
GUILD_INFO_ENEMY_GUILD	Düþman Lonca
GUILD_INFO_ENEMY_GUILD_EMPTY	Yok
GUILD_INFO_LEVEL	Lonca Seviyesi
GUILD_INFO_MARK	Lonca Ýmzasý
GUILD_INFO_MASTER	Lider
GUILD_INFO_MASTER_VALUE	Lider
GUILD_INFO_MEMBER_AVG_LEVEL	Ortalama Seviye
GUILD_INFO_MEMBER_NUM	Üye Sayýsý
GUILD_INFO_NAME	Lonca Ýsmi
GUILD_INFO_NAME_VALUE	Bu bir Lonca ismi
GUILD_INFO_OFFER_EXP	Yatýrým
GUILD_INFO_REST_EXP	Gereken Tecrübe
GUILD_INFO_UPLOAD_MARK	Ýmza Yükle
GUILD_INFO_UPLOAD_SYMBOL	Bayrak Yükle
GUILD_MARK	Lonca Ýmzasý
GUILD_MEMBER_JOB	Sýnýf
GUILD_MEMBER_KNIGHT	Savaþçý
GUILD_MEMBER_LEVEL	Seviye
GUILD_MEMBER_NAME	Isim
GUILD_MEMBER_RANK	Sýra
GUILD_MEMBER_SPECIFIC_GRAVITY	Yatýrým
GUILD_METIN_STONE	Zihin Taþý
GUILD_MINENAL	Mineral
GUILD_MONEY	Yang
GUILD_NAME	Lonca
GUILD_RESOURCE_INFO	Kaynak Bilgisi
GUILD_SAFE_TITLE	Lonca Deposu
GUILD_SKILL_ACTIVE	Aktif
GUILD_SKIlL_HEAL_GSP	Gücü tekrar kazan
GUILD_SKILL_PASSIVE	Pasif
GUILD_SKILL_POWER	Enerji
GUILD_SKILL_STATE	Lonca Becerileri
GUILD_SYMBOL	Lonca Bayraðý
GUILD_WAR_ACCEPT	Savaþ Ýlaný Kabulü
GUILD_WAR_BATTLE_TYPE	Savaþ Türü
GUILD_WAR_CTF	Bayrak
GUILD_WAR_DECLARE	Lonca Savaþý Ýlaný
GUILD_WAR_ENEMY	Düþman
GUILD_WAR_NORMAL	Alan
GUILD_WAR_WARP	Arena
GUILD_RANKING_WINDOW_TITLE	Lonca Sýralamasý
GUILD_WAR_HISTORY_WINDOW_TITLE	Lonca Savaþ Geçmiþi
GUILD_WAR_HISTORY_TITLE	Sýralama Test
GUILD_WATER	Su
GUILD_WATER_STONE	Su Taþý
GUILD_WITHDRAW	Geri Çek
GUILD_DRAGONLAIR_RANKING	En Ýyiler Listesi
GUILD_DRAGONLAIR_RANKING_COUNT	Sýra
GUILD_DRAGONLAIR_RANKING_MEMBER	Üyeler
GUILD_DRAGONLAIR_RANKING_NAME	Lonca
GUILD_DRAGONLAIR_RANKING_TIME	Zaman
HELP_ATTACK_KEY	Saldýr: sol fare tuþu veya boþluk tuþu ile
HELP_CHANGE_PK_MODE	Saldýrý modunu deðiþtir: sol fare tuþu ayarýný deðiþtir
HELP_CHARACTER_BUTTON1	(Karakter Penceresi, Envanter Penceresi,
HELP_CHARACTER_BUTTON2	Arkadaþ Listesi ve Seçenekler)
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	Kamera görüntüsü ayarlama: orta fare tuþu ile
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	Kamera görüntüsü ayarýný deðiþtir: sað veya sol fare tuþu ile
HELP_EXP	Tecrübe
HELP_FURY	Oyun Nesnet Marketi
HELP_GUILD_WINDOW	Lonca Penceresini aç: Alt + G tuþlarý ile
HELP_HELP	Yardým göster: H ile
HELP_HP	Hayat Puaný (HP)
HELP_MESSENGER_WINDOW	Arakadaþ Listesini aç: Alt + M tuþlarý  ile
HELP_MOUSE_LEFT	Sol mouse tuþunun iþlevi
HELP_MOUSE_RIGHT	Sað mouse tuþunun iþlevi
HELP_MOVE_KEY	Kumanda: W, S, A, D tuþlarý ve ok tuþlarý ile
HELP_OPEN_CHARACTER	Karakter Penceresini aç: C tuþu ile
HELP_OPEN_CHAT	Sohbet Penceresini aç: Giriþ tuþu ile
HELP_OPEN_INVENTORY	Envanter Penceresini aç: I tuþu ile
HELP_OPEN_LOG	Sohbet protokolünü (Log) aç: L tuþu ile
HELP_OPEN_MINIMAP	Küçük Haritayý aç: Shift + M tuþlarý ile
HELP_OPEN_QUEST	Görev Penceresini aç: N tuþu ile
HELP_OPEN_SKILL	Beceri Penceresini aç: V tuþu ile
HELP_OPEN_WHISPER	Fýsýltý Penceresini aç: üst karakter + giriþ tuþu ile
HELP_OPEN_ZONEMAP	Genel Görünüm Haritasý'ný aç: M tuþu ile
HELP_PICK_ITEM	Nesneleri topla: ", Z veya sol fare tuþu ile
HELP_QUICKSLOT	Hýzlý Eriþim Alanlarý
HELP_SCREEN_CAPTURE	Ekran görüntüsünü kaydet: Yazdýr veya Print tuþu ile ("Metin2\screenshot" dosyasý altýnda kaydedilecek)
HELP_SHOW_ALL_NAME	Ýsimleri göster: Alt tuþu ile
HELP_SP	Zihin Puaný (SP)
HELP_SYSTEM_BUTTON	Sistem Tuþlarý
ID_ACCOUNT	Kullanýcý adý
INVENTORY_PAGE_BUTTON_TOOLTIP_1	1. Envanter
INVENTORY_PAGE_BUTTON_TOOLTIP_2	2. Envanter
INVENTORY_PAGE_BUTTON_TOOLTIP_3	3. Envanter
INVENTORY_PAGE_BUTTON_TOOLTIP_4	4. Envanter
INVENTORY_PAGE_BUTTON_TOOLTIP_5	5. Envanter
INVENTORY_TITLE	Envanter
ITEM_MALL	Nesne Market
ITEM_PREVIEWGUI_TITLE	Nesne Önizleme
ITEM_PREVIEWGUI_QUESTION	Satýn alma iþlemini onaylýyor musun?
KASMIR_MARKET_BASLIK	Marketinin görünümünü Seç.
KASMIR_MARKET_PRIVATESHOP_0	Standart
KASMIR_MARKET_PRIVATESHOP_1	Binbir Gece
KASMIR_MARKET_PRIVATESHOP_2	Mangal Ustasý
KASMIR_MARKET_PRIVATESHOP_3	Hazine Avcýsý
KASMIR_MARKET_PRIVATESHOP_4	Kýsýk Ateþ
KASMIR_MARKET_PRIVATESHOP_5	Silah Satýcýsý
KASMIR_MARKET_PRIVATESHOP_6	Zýrh Ticareti
KASMIR_MARKET_PRIVATESHOP_7	Simyacý
KASMIR_PAKET_BASLIK	Baþlýðýnýn görünümünü Seç.
KASMIR_PAKET_STANDART	Standart
KASMIR_PAKET_FIRE	Cehennem
KASMIR_PAKET_ICE	Buzul Çaðý
KASMIR_PAKET_PAPER	Parþömen
KASMIR_PAKET_RIBON	Savaþ Sancaðý
KASMIR_PAKET_WING	Dalgalanan
KEYCHANGE_ACTION_WINDOW	Eylemler
KEYCHANGE_ATTACK	Saldýr
KEYCHANGE_AUTORUN	Otomatik yürü
KEYCHANGE_AUTO_WINDOW	Otomatik Av
KEYCHANGE_BASEACTION	Temel Ayarlar
KEYCHANGE_CAM_DOWN1	Kamera (aþaðý)
KEYCHANGE_CAM_DOWN2	Kamera (aþaðý)
KEYCHANGE_CAM_LEFT1	Kamera (sol)
KEYCHANGE_CAM_LEFT2	Kamera (sol)
KEYCHANGE_CAM_RIGHT1	Kamera (sað)
KEYCHANGE_CAM_RIGHT2	Kamera (sað)
KEYCHANGE_CAM_UP1	Kamera (yukarý)
KEYCHANGE_CAM_UP2	Kamera (yukarý)
KEYCHANGE_CAM_ZOOM_IN1	Kamera (büyüteç +)
KEYCHANGE_CAM_ZOOM_IN2	Kamera (büyüteç +)
KEYCHANGE_CAM_ZOOM_OUT1	Kamera (büyüteç -)
KEYCHANGE_CAM_ZOOM_OUT2	Kamera (büyüteç -)
KEYCHANGE_CANCLE	Ýptal
KEYCHANGE_CHAT_WINDOW	Sohbet Protokolü
KEYCHANGE_CLEAR	Standart
KEYCHANGE_DDS_WINDOW	DSS
KEYCHANGE_DOWN1	Geri
KEYCHANGE_DOWN2	Geri
KEYCHANGE_DSS1	DS [Gökyüzü]
KEYCHANGE_DSS2	DS [Dünya]
KEYCHANGE_EMOTION1	Duygu (üzgün)
KEYCHANGE_EMOTION2	Duygu (Yang)
KEYCHANGE_EMOTION3	Duygu (müzik)
KEYCHANGE_EMOTION4	Duygu (kalp)
KEYCHANGE_EMOTION5	Duygu (kalp)
KEYCHANGE_EMOTION6	Duygu (bomba)
KEYCHANGE_EMOTION7	Duygu (fikir)
KEYCHANGE_EMOTION8	Duygu (fýrtýna)
